year,province,size_ha,area_ha,burnt_percent
2014,Alberta,103663.26000000001,63992869.301567346,0.1619918924270849
2014,British Columbia,363513.61000000004,91729981.4180664,0.3962865841466368
2014,Manitoba,36107.7,62771016.32926946,0.0575228857385305
2014,Newfoundland and Labrador,8832.0,39734195.0266315,0.022227705869164907
2014,Northwest Territories,3597379.41,127602382.07466719,2.8192102306483395
2014,Nova Scotia,200.9,5728463.511764296,0.0035070486106339063
2014,Ontario,4917.0,97932945.054179,0.00502078232946001
2014,Quebec,62271.7,147544863.693456,0.04220526451491914
2014,Saskatchewan,338952.76,63204518.05173871,0.5362793206057453
2014,Yukon,2901.74,45566151.11741307,0.006368192021579594
2015,Alberta,791816.74,63992869.301567346,1.2373515184458317
2015,British Columbia,274951.97,91729981.4180664,0.29974057091201767
2015,Manitoba,63512.5,62771016.32926946,0.10118125165735892
2015,Newfoundland and Labrador,3520.0,39734195.0266315,0.008858868281188913
2015,Northwest Territories,759580.26,127602382.07466719,0.5952712227233562
2015,Ontario,39387.0000919,97932945.054179,0.04021833517833055
2015,Quebec,4166.4,147544863.693456,0.0028238190715037348
2015,Saskatchewan,1761875.04041,63204518.05173871,2.787577683873395
2015,Yukon,167913.6,45566151.11741307,0.36850512031908694
2016,Alberta,511381.9,63992869.301567346,0.7991232547959449
2016,British Columbia,96678.2,91729981.4180664,0.10539433073618724
2016,Manitoba,35393.9,62771016.32926946,0.05638573671380274
2016,Newfoundland and Labrador,10316.0,39734195.0266315,0.02596252420134796
2016,Northwest Territories,252702.88,127602382.07466719,0.19803931234773473
2016,Nova Scotia,275.014,5728463.511764296,0.004800833581905789
2016,Ontario,84665.2001041,97932945.054179,0.08645221488770817
2016,Quebec,30050.2,147544863.693456,0.020366822163618837
2016,Saskatchewan,251601.31,63204518.05173871,0.3980748809666442
2016,Yukon,21289.0,45566151.11741307,0.04672108457250063
2017,Alberta,84040.7,63992869.301567346,0.13132822596836055
2017,British Columbia,1242790.96,91729981.4180664,1.354836162383905
2017,Manitoba,217063.9,62771016.32926946,0.3458027489333248
2017,New Brunswick,415.0,7419341.617650458,0.005593488228291359
2017,Newfoundland and Labrador,609.0,39734195.0266315,0.0015326848816034227
2017,Northwest Territories,1071446.08,127602382.07466719,0.839675609952985
2017,Nova Scotia,440.0,5728463.511764296,0.007680942701239017
2017,Ontario,106848.5998951,97932945.054179,0.10910383613603025
2017,Quebec,37520.5,147544863.693456,0.025429892346475587
2017,Saskatchewan,396670.2,63204518.05173871,0.627597855702798
2017,Yukon,397828.95,45566151.11741307,0.8730799952247228
2018,Alberta,77744.02,63992869.301567346,0.12148856716149131
2018,British Columbia,1345478.05,91729981.4180664,1.4667811212867046
2018,Manitoba,229807.2,62771016.32926946,0.36610399741583177
2018,Northwest Territories,23944.7,127602382.07466719,0.018765088559231313
2018,Ontario,259730.9968136,97932945.054179,0.2652130972574247
2018,Quebec,83112.6,147544863.693456,0.056330391936026625
2018,Saskatchewan,152987.2,63204518.05173871,0.24205105064604074
2018,Yukon,80338.0,45566151.11741307,0.17631070000401877
2019,Alberta,994846.89,63992869.301567346,1.5546214771395377
2019,British Columbia,19421.32,91729981.4180664,0.021172270723010235
2019,Manitoba,66862.5,62771016.32926946,0.106518109646765
2019,Northwest Territories,107405.41,127602382.07466719,0.08417194746188295
2019,Ontario,268096.8995368,97932945.054179,0.2737555777460608
2019,Quebec,8466.3,147544863.693456,0.005738119096839494
2019,Saskatchewan,45681.3,63204518.05173871,0.07227537114135679
2019,Yukon,254654.0,45566151.11741307,0.5588666010956633
2020,Alberta,2917.99,63992869.301567346,0.004559867422491917
2020,British Columbia,13188.0,91729981.4180664,0.014376978819928768
2020,Manitoba,46477.799999999996,62771016.32926946,0.07404340843582596
2020,New Brunswick,838.0,7419341.617650458,0.01129480273568231
2020,Newfoundland and Labrador,3793.5,39734195.0266315,0.009547192279741516
2020,Northwest Territories,20592.22,127602382.07466719,0.016137802182995577
2020,Ontario,12987.2000734,97932945.054179,0.013261318819948843
2020,Quebec,58055.5,147544863.693456,0.03934769299771627
2020,Saskatchewan,42266.700000000004,63204518.05173871,0.06687290925215318
2020,Yukon,3247.0,45566151.11741307,0.007125903593729604
2021,Alberta,62240.01,63992869.301567346,0.09726085215321886
2021,British Columbia,857711.57,91729981.4180664,0.9350395113359
2021,Manitoba,1136577.6681964,62771016.32926946,1.8106727191326766
2021,Northwest Territories,194722.3,127602382.07466719,0.1526008345879133
2021,Ontario,778709.9989365,97932945.054179,0.7951461058438485
2021,Quebec,48152.8,147544863.693456,0.03263603950324141
2021,Saskatchewan,947897.6,63204518.05173871,1.499730761690262
2021,Yukon,12695.0,45566151.11741307,0.02786059320061513
2022,Alberta,144642.41999999998,63992869.301567346,0.22602896475601122
2022,British Columbia,129411.83,91729981.4180664,0.14107909758554915
2022,Manitoba,190306.9,62771016.32926946,0.3031763879713732
2022,Newfoundland and Labrador,23071.7,39734195.0266315,0.05806509980770064
2022,Northwest Territories,600908.0,127602382.07466719,0.47092224316657005
2022,Nova Scotia,3199.09,5728463.511764296,0.05584551587751529
2022,Ontario,1895.199951,97932945.054179,0.001935201632046833
2022,Quebec,29243.3,147544863.693456,0.01981993765689928
2022,Saskatchewan,262850.6,63204518.05173871,0.41587311809708377
2022,Yukon,166545.12,45566151.11741307,0.3655018383511328
2023,Alberta,3118452.2199999997,63992869.301567346,4.8731245434616275
2023,British Columbia,2832047.71,91729981.4180664,3.0873741237259456
2023,Manitoba,195705.2,62771016.32926946,0.3117763761756152
2023,New Brunswick,504.0,7419341.617650458,0.006793055583274325
2023,Newfoundland and Labrador,21512.0,39734195.0266315,0.05413976547299315
2023,Northwest Territories,4253935.96,127602382.07466719,3.3337433759745863
2023,Nova Scotia,24348.7292493,5728463.511764296,0.4250481686633086
2023,Ontario,437268.3,97932945.054179,0.44649765179439055
2023,Quebec,4284512.9909032,147544863.693456,2.903871326761224
2023,Saskatchewan,1880650.9,63204518.05173871,2.9755007362931147
2023,Yukon,525822.31,45566151.11741307,1.1539756971026187
