province,fire_id,latitude,longitude,year,size_ha,cause
Alberta,HWF175,57.552983,-115.553983,2023,251.8,Unknown
Saskatchewan,23SR-LLHIR03,58.182064,-103.05088,2023,214.7,Natural
Quebec,20231080689,50.5713,-79.3046,2023,19248.49051,Natural
Saskatchewan,23LA-HARDY,55.622898,-106.39554,2023,314.0,Natural
Saskatchewan,23BN-LINVALL,56.361978,-109.013426,2023,660.0,Natural
Saskatchewan,23BN-GARSON,56.170922,-109.592501,2023,689.0,Natural
Northwest Territories,SS080-23,60.0,-115.9914,2023,2000.0,Natural
Saskatchewan,23LA-MCTAVISH,55.845,-105.360333,2023,7102.0,Natural
Saskatchewan,23BN-HILLS,55.982667,-109.2232,2023,1500.0,Natural
Alberta,HWF159,59.684617,-119.684367,2023,12059.99,Natural
Alberta,HWF161,59.731,-119.751217,2023,200.0,Natural
British Columbia,2023-K53294,49.771,-119.9618,2023,1116.2,Human
Ontario,COC55,50.6355,-80.3291,2023,3835.9,Natural
British Columbia,2023-G73406,55.6319,-121.4276,2023,1246.0,Natural
Saskatchewan,23DB-DEER,55.841219,-103.025465,2023,656.0,Natural
Northwest Territories,SS074-23,60.984167,-102.544333,2023,350.0,Natural
Northwest Territories,ZF101-23,64.279433,-115.197217,2023,2382.33,Natural
Northwest Territories,ZF100-23,63.915,-114.671383,2023,4305.0,Natural
Northwest Territories,SS073-23,60.52395,-113.7263,2023,882.0,Natural
Ontario,COC52,51.4104,-82.1242,2023,408.6,Natural
British Columbia,2023-G83130,58.2204,-121.7444,2023,673.0,Natural
British Columbia,2023-V83128,49.5076,-125.5733,2023,1217.1,Natural
Alberta,2023WB31,59.6844,-115.2978,2023,7822.0,Natural
Northwest Territories,2023WB30,60.455,-115.5999,2023,5088.0,Natural
British Columbia,2023-G93120,58.7596,-127.7105,2023,700.0,Natural
Ontario,COC53,51.5625,-84.8141,2023,1383.0,Natural
Saskatchewan,23LA-ERROL,55.9852,-103.254533,2023,374.5,Human
British Columbia,2023-V53075,50.5322,-124.3396,2023,262.0,Natural
British Columbia,2023-V33029,50.3991,-122.6656,2023,410.0,Natural
British Columbia,2023-V53027,49.7123,-123.5527,2023,415.5,Natural
Yukon,2023OT004,59.934129,-127.74958,2023,475.74,Natural
British Columbia,2023-C53189,51.6808,-124.994,2023,200.0,Natural
British Columbia,2023-R13068,53.4286,-126.9397,2023,419.0,Natural
British Columbia,2023-R13093,53.3021,-126.7535,2023,913.0,Natural
British Columbia,2023-C53002,52.0622,-123.5597,2023,1235.3,Human
Yukon,2023WL008,61.579784,-129.990649,2023,250.0,Natural
British Columbia,2023-C52978,51.5811,-125.0824,2023,16842.0,Natural
British Columbia,2023-V33258,50.5959,-122.7344,2023,300.0,Natural
British Columbia,2023-G52955,55.0552,-125.641,2023,1590.6,Natural
British Columbia,2023-G62952,55.5756,-123.5436,2023,205.06,Natural
British Columbia,2023-G92947,59.2269,-128.0591,2023,7301.75,Natural
British Columbia,2023-G92940,59.2838,-121.8901,2023,71002.7,Natural
British Columbia,2023-K73066,50.3079,-122.044,2023,480.37,Natural
Quebec,20231080663,51.0539,-79.1325,2023,300.0,Natural
Northwest Territories,ZF098-23,64.36555,-119.0525,2023,274.0,Natural
Northwest Territories,ZF099-23,63.31555,-116.6845,2023,572.0,Natural
Manitoba,NO129,57.3806,-101.626,2023,350.0,Natural
British Columbia,2023-V93289,51.7347,-125.8142,2023,433.0,Natural
Saskatchewan,23SR-EISEN2,59.110383,-104.8664,2023,1445.0,Natural
Alberta,2023WB29,58.0812,-113.2374,2023,5900.0,Natural
British Columbia,2023-VA2884,52.2916,-126.0645,2023,900.0,Natural
Saskatchewan,23LA-KINO,57.081448,-102.112563,2023,2238.0,Natural
Saskatchewan,23SR-DEBUS2,59.012867,-109.621583,2023,4816.0,Natural
British Columbia,2023-K52813,49.3014,-119.7091,2023,2043.8,Human
British Columbia,2023-K42815,50.0275,-119.4413,2023,372.6,Natural
British Columbia,2023-V82787,49.5919,-126.2774,2023,425.0,Unknown
British Columbia,2023-K52808,49.9343,-119.4611,2023,733.0,Unknown
British Columbia,2023-V52804,50.6693,-123.9888,2023,302.0,Natural
British Columbia,2023-K52767,49.9081,-119.6328,2023,13970.4,Unknown
British Columbia,2023-VA2752,52.8213,-126.1975,2023,330.0,Natural
Yukon,2023OC031,67.015282,-136.476263,2023,8833.09,Unknown
Yukon,2023OC029,67.335411,-139.888516,2023,3618.86,Natural
Yukon,2023OC030,67.463174,-136.682325,2023,475.0,Unknown
British Columbia,2023-V12722,49.1089,-121.2662,2023,1517.7,Natural
Northwest Territories,FS028-23,61.434667,-120.5569,2023,328.0,Human
Manitoba,NO123,58.575,-101.253,2023,230.0,Natural
Manitoba,NO121,57.2531,-93.4672,2023,333.0,Natural
Northwest Territories,ZF097-23,62.767217,-103.574433,2023,517.2,Natural
Northwest Territories,2023TH5,62.4854,-110.4762,2023,314.0,Unknown
British Columbia,2023-K72705,50.3647,-122.0244,2023,1015.5,Natural
Manitoba,NO117,56.8086,-100.829,2023,853.0,Natural
Northwest Territories,SS069-23,60.019783,-112.673983,2023,43000.0,Natural
Yukon,2023MA049,63.911283,-132.949933,2023,990.27,Unknown
Yukon,2023DA057,63.376267,-139.616783,2023,1790.01,Natural
Yukon,2023MA048,64.271108,-134.2267,2023,557.89,Unknown
Yukon,2023MA050,65.422167,-135.799633,2023,7117.23,Unknown
Yukon,2023DA058,64.552581,-140.343781,2023,421.54,Unknown
Northwest Territories,FS027-23,63.091667,-124.0185,2023,760.0,Natural
British Columbia,2023-G92594,59.9374,-127.762,2023,316.5,Natural
Yukon,2023MA047,63.1636,-135.178983,2023,479.0,Unknown
