province,fire_id,latitude,longitude,year,size_ha,cause,size
Alberta,EWF121,53.076067,-117.131367,2018,397.73,Human,Very small
Manitoba,MB2018NE179,56.15555556,-90.95027778,2018,299.0,Natural,Very small
British Columbia,2018-V52889,50.2898,-124.7157,2018,658.0,Human,Very small
,2018WL2,48.9934,-113.9395,2018,272.0,Unknown,Very small
British Columbia,2018-N22883,51.1689,-117.2551,2018,767.0,Natural,Very small
Manitoba,MB2018EA158,52.25027778,-96.64916667,2018,300.0,Natural,Very small
Manitoba,MB2018EA159,51.27555556,-95.17583333,2018,254.0,Natural,Very small
Saskatchewan,18SR-SMITH,58.351867,-106.588817,2018,4696.8,Natural,Very small
Alberta,MWF095,59.715083,-110.712383,2018,608.13,Natural,Very small
Saskatchewan,18SR-HAWKROCK,58.745167,-104.767433,2018,906.1,Natural,Very small
Manitoba,MB2018NE167,57.36666667,-97.00861111,2018,5951.4,Natural,Very small
British Columbia,2018-R92725,59.4884,-129.4953,2018,2514.0,Natural,Very small
British Columbia,2018-G62717,56.1406,-125.6552,2018,600.0,Natural,Very small
Alberta,HWF212,59.15325,-114.068567,2018,6728.0,Natural,Very small
Alberta,2018WB14,59.141,-113.9928,2018,3582.3,Natural,Very small
British Columbia,2018-K42705,50.2878,-118.7019,2018,255.0,Natural,Very small
Manitoba,2018WP1,57.869773,-93.772631,2018,200.0,Natural,Very small
British Columbia,2018-K62690,49.1829,-120.3105,2018,13626.0,Natural,Very small
British Columbia,2018-K52670,49.2539,-119.909,2018,1380.0,Natural,Very small
British Columbia,2018-C12637,53.1088,-123.8983,2018,370.0,Natural,Very small
British Columbia,2018-C52646,51.9737,-125.5419,2018,1386.16,Natural,Very small
British Columbia,2018-G32617,52.2909,-119.199,2018,320.0,Natural,Very small
Saskatchewan,2018GR12,49.0559,-106.6998,2018,330.0,Natural,Very small
British Columbia,2018-R92631,59.515,-129.13,2018,5464.0,Natural,Very small
British Columbia,2018-N52571,49.0047,-118.0555,2018,377.0,Natural,Very small
British Columbia,2018-C42820,52.148,-120.6935,2018,350.0,Natural,Very small
British Columbia,2018-C12594,52.7536,-124.5121,2018,10687.0,Natural,Very small
British Columbia,2018-N42593,51.7831,-117.5186,2018,272.0,Natural,Very small
British Columbia,2018-N42490,51.2803,-116.7411,2018,201.0,Natural,Very small
British Columbia,2018-N12563,49.4058,-115.111,2018,458.0,Natural,Very small
British Columbia,2018-N12574,49.6838,-114.7349,2018,582.0,Natural,Very small
British Columbia,2018-N52721,50.2743,-118.134,2018,346.0,Natural,Very small
British Columbia,2018-N52792,50.3951,-118.1811,2018,677.0,Natural,Very small
British Columbia,2018-N52849,50.1121,-118.1721,2018,250.0,Natural,Very small
British Columbia,2018-N52471,50.0339,-117.4736,2018,558.0,Natural,Very small
British Columbia,2018-N52548,49.3774,-117.8816,2018,3193.0,Natural,Very small
British Columbia,2018-N52566,49.707,-118.1559,2018,1195.0,Natural,Very small
British Columbia,2018-N52723,49.5583,-118.2178,2018,548.0,Natural,Very small
British Columbia,2018-N52489,49.4897,-118.0644,2018,3849.0,Natural,Very small
British Columbia,2018-N52497,49.4042,-118.0955,2018,2227.0,Natural,Very small
British Columbia,2018-N62729,49.4543,-118.359,2018,415.0,Natural,Very small
British Columbia,2018-N12515,49.0723,-115.4571,2018,2392.0,Natural,Very small
British Columbia,2018-V92456,50.3656,-127.1902,2018,779.0,Natural,Very small
British Columbia,2018-V92595,50.0767,-126.4814,2018,448.0,Natural,Very small
British Columbia,2018-V82480,50.2868,-127.1087,2018,1070.0,Natural,Very small
British Columbia,2018-V82525,50.1626,-126.9296,2018,981.0,Natural,Very small
British Columbia,2018-V82888,49.9129,-126.9648,2018,284.2,Natural,Very small
Manitoba,MB2018NE178,57.86,-93.78166667,2018,253.0,Natural,Very small
British Columbia,2018GL10,51.3974,-117.5793,2018,201.5,Natural,Very small
British Columbia,2018-N12413,49.8293,-115.9438,2018,714.0,Natural,Very small
British Columbia,2018-N12395,49.4919,-114.8611,2018,956.0,Human,Very small
British Columbia,2018-V92443,50.1868,-126.8701,2018,260.0,Natural,Very small
British Columbia,2018-V82579,49.9529,-126.979,2018,800.0,Natural,Very small
British Columbia,2018-R42356,55.2038,-128.1227,2018,357.0,Natural,Very small
British Columbia,2018-G32369,53.04,-119.8151,2018,485.0,Natural,Very small
British Columbia,2018-N42384,51.4557,-116.8924,2018,221.0,Natural,Very small
British Columbia,2018-K52361,49.9865,-119.9476,2018,642.0,Natural,Very small
Northwest Territories,SS009-18,60.858333,-102.371333,2018,223.0,Natural,Very small
Northwest Territories,FS025-18,60.0,-122.2355,2018,2269.3,Natural,Very small
British Columbia,2018-G92313,59.0083,-121.847,2018,374.5,Natural,Very small
British Columbia,2018-G92334,59.7041,-122.9826,2018,872.3,Natural,Very small
British Columbia,2018-C12328,53.1731,-123.5254,2018,8277.5,Natural,Very small
British Columbia,2018-V12311,49.3148,-121.6702,2018,427.0,Human,Very small
British Columbia,2018-R12315,53.1507,-126.5614,2018,87684.96,Natural,Small
British Columbia,2018-K62317,49.7773,-121.1585,2018,2432.0,Natural,Very small
Saskatchewan,18BN-SMOKE,56.669383,-107.951833,2018,4118.0,Natural,Very small
British Columbia,2018-R92303,57.6019,-131.0149,2018,11000.0,Natural,Very small
British Columbia,2018-C12302,52.783,-122.8101,2018,4636.0,Natural,Very small
British Columbia,2018-V52370,50.8801,-124.6866,2018,1100.0,Natural,Very small
British Columbia,2018-R22298,54.4721,-126.4002,2018,216.6,Human,Very small
British Columbia,2018-K72289,50.5879,-122.4996,2018,848.0,Natural,Very small
Alberta,RWF049,51.85565,-115.704317,2018,1129.0,Natural,Very small
British Columbia,2018-R22258,55.1578,-126.1788,2018,3366.0,Natural,Very small
British Columbia,2018-R12270,53.4735,-125.6034,2018,9253.0,Natural,Very small
British Columbia,2018-K22285,51.9062,-119.0734,2018,313.0,Natural,Very small
Northwest Territories,SS008-18,60.128166,-106.305833,2018,1919.1,Natural,Very small
Ontario,THU52,50.6996,-89.7669,2018,8306.599609,Natural,Very small
British Columbia,2018-R32182,55.1115,-126.653,2018,2524.0,Natural,Very small
British Columbia,2018-G32211,52.2945,-118.7266,2018,236.0,Natural,Very small
British Columbia,2018-K22198,51.9564,-120.3083,2018,1050.0,Natural,Very small
British Columbia,2018-R92132,59.4452,-128.6512,2018,156775.0,Natural,Medium
British Columbia,2018-R92162,57.91,-130.6285,2018,2568.0,Natural,Very small
British Columbia,2018-V12179,49.6921,-121.5444,2018,410.6,Natural,Very small
British Columbia,2018-V12169,49.7387,-121.2168,2018,281.7,Natural,Very small
British Columbia,2018-V12167,49.1431,-121.186,2018,5949.0,Natural,Very small
Saskatchewan,18SR-SNOOK,59.693556,-109.384004,2018,1107.5,Natural,Very small
Alberta,2018WB12,59.3109,-112.0929,2018,4752.6,Natural,Very small
Ontario,RED170,52.0648,-95.0591,2018,9401.099609,Natural,Very small
British Columbia,2018-G92084,58.9445,-120.7005,2018,17896.6,Natural,Very small
British Columbia,2018-R12068,53.3606,-126.7467,2018,60631.83,Natural,Small
British Columbia,2018-K42067,50.5934,-118.5665,2018,504.0,Natural,Very small
Manitoba,MB2018NE161,56.89861111,-92.93027778,2018,240.0,Natural,Very small
British Columbia,2018-G82215,57.4487,-121.1231,2018,23042.0,Natural,Very small
British Columbia,2018-C22371,51.8885,-122.2253,2018,300.0,Natural,Very small
British Columbia,2018-R32009,55.5305,-126.8278,2018,884.0,Natural,Very small
British Columbia,2018-G32051,52.3678,-118.5952,2018,10622.0,Natural,Very small
British Columbia,2018-G42036,53.5361,-124.4761,2018,224.0,Natural,Very small
British Columbia,2018-N72106,50.2327,-117.1555,2018,1045.0,Natural,Very small
