FID;the_geom;NFDBFIREID;SRC_AGENCY;NAT_PARK;FIRE_ID;FIRENAME;LATITUDE;LONGITUDE;YEAR;MONTH;DAY;REP_DATE;OUT_DATE;SIZE_HA;CAUSE;FIRE_TYPE;RESPONSE;PROTZONE;MORE_INFO
NFDB_point.15203;POINT (-1179791.725742412 1131178.919884772);AB-2023-HWF175;AB;;HWF175;;57.552983;-115.553983;2023;12;18;2023-12-18T00:00:00;;251.8;U;Ground;;;
NFDB_point.309;POINT (-460380.2905072826 1036376.3641058453);SK-2023-23SR-LLHIR03;SK;;23SR-LLHIR03;;58.182064;-103.05088;2023;9;26;2023-09-26T00:00:00;2023-09-28T00:00:00;214.7;N;;;;
NFDB_point.560;POINT (1094277.5459447887 309953.7056148676);QC-2023-20231080689;QC;;20231080689;;50.5713;-79.3046;2023;9;25;2023-09-25T00:00:00;2023-10-23T00:00:00;19248.49051;N;;;Nordique;
NFDB_point.308;POINT (-699508.4239772111 791614.1755085355);SK-2023-23LA-HARDY;SK;;23LA-HARDY;;55.622898;-106.39554;2023;9;24;2023-09-24T00:00:00;2023-10-05T00:00:00;314;N;;;;
NFDB_point.306;POINT (-840243.4952331253 902264.9601426544);SK-2023-23BN-LINVALL;SK;;23BN-LINVALL;;56.361978;-109.013426;2023;9;22;2023-09-22T00:00:00;2023-10-11T00:00:00;660;N;;;;
NFDB_point.307;POINT (-879098.1964432203 889805.7813376151);SK-2023-23BN-GARSON;SK;;23BN-GARSON;;56.170922;-109.592501;2023;9;22;2023-09-22T00:00:00;2023-10-11T00:00:00;689;N;;;;
NFDB_point.709;POINT (-1117981.4843722477 1390462.7268531774);NT-2023-SS080-23;NT;;SS080-23;;60;-115.9914;2023;9;20;2023-09-20T00:00:00;;2000;N;;MON;;
NFDB_point.304;POINT (-632627.1302751135 804638.6050285888);SK-2023-23LA-MCTAVISH;SK;;23LA-MCTAVISH;;55.845;-105.360333;2023;9;19;2023-09-19T00:00:00;2023-10-11T00:00:00;7102;N;;;;
NFDB_point.305;POINT (-861776.0390008962 864763.6162837781);SK-2023-23BN-HILLS;SK;;23BN-HILLS;;55.982667;-109.2232;2023;9;19;2023-09-19T00:00:00;2023-10-11T00:00:00;1500;N;;;;
NFDB_point.15188;POINT (-1318408.6849766162 1429215.8466305854);AB-2023-HWF159;AB;;HWF159;;59.684617;-119.684367;2023;9;19;2023-09-19T00:00:00;;12059.99;N;Surface;;;Provincial Land
NFDB_point.15191;POINT (-1319891.1189758347 1435252.2381152953);AB-2023-HWF161;AB;;HWF161;;59.731;-119.751217;2023;9;19;2023-09-19T00:00:00;;200;N;Surface;;;Provincial Land
NFDB_point.200;POINT (-1747228.2230865445 432939.0347595569);BC-2023-2023-K53294;BC;;2023-K53294;Glen Lake;49.771;-119.9618;2023;9;16;2023-09-16T00:00:00;2023-10-26T00:00:00;1116.2;H;Fire;FUL;;Glen Lake
NFDB_point.375;POINT (1022543.4993308814 299803.98714582995);ON-2023-COC55;ON;;COC55;;50.6355;-80.3291;2023;9;16;2023-09-16T00:00:00;2023-10-17T00:00:00;3835.9;N;IFR;MON;;
NFDB_point.33;POINT (-1584032.511674839 1063658.6128296675);BC-2023-2023-G73406;BC;;2023-G73406;2023 Holdover Mount Wartenbe;55.6319;-121.4276;2023;9;13;2023-09-13T00:00:00;;1246;N;Fire;FUL;;Mount Wartenbe
NFDB_point.303;POINT (-490974.9199023463 783605.62557308);SK-2023-23DB-DEER;SK;;23DB-DEER;;55.841219;-103.025465;2023;9;13;2023-09-13T00:00:00;2023-10-02T00:00:00;656;N;;;;
NFDB_point.710;POINT (-395626.7501791757 1334309.550449707);NT-2023-SS074-23;NT;;SS074-23;;60.984167;-102.544333;2023;9;11;2023-09-11T00:00:00;2023-09-11T00:00:00;350;N;;MON;;
NFDB_point.711;POINT (-932655.1788461149 1816395.5716145425);NT-2023-ZF101-23;NT;;ZF101-23;;64.279433;-115.197217;2023;9;7;2023-09-07T00:00:00;2023-10-01T00:00:00;2382.33;N;;MON;;
NFDB_point.712;POINT (-921151.0729031608 1771265.2347749271);NT-2023-ZF100-23;NT;;ZF100-23;;63.915;-114.671383;2023;9;7;2023-09-07T00:00:00;2023-10-01T00:00:00;4305;N;;MON;;
NFDB_point.713;POINT (-984611.6658854584 1407012.451434284);NT-2023-SS073-23;NT;;SS073-23;;60.52395;-113.7263;2023;9;7;2023-09-07T00:00:00;;882;N;;MON;;
NFDB_point.359;POINT (882058.3987634802 356509.8481895393);ON-2023-COC52;ON;;COC52;;51.4104;-82.1242;2023;9;4;2023-09-04T00:00:00;2023-10-12T00:00:00;408.6;N;IFR;MON;;
NFDB_point.98;POINT (-1486952.422895741 1328657.2046595998);BC-2023-2023-G83130;BC;;2023-G83130;2023 Holdover G83130;58.2204;-121.7444;2023;9;2;2023-09-02T00:00:00;;673;N;Fire;;;
NFDB_point.156;POINT (-2125873.042553928 577384.4827966508);BC-2023-2023-V83128;BC;;2023-V83128;THELWOOD CREEK;49.5076;-125.5733;2023;9;2;2023-09-02T00:00:00;2023-11-10T00:00:00;1217.1;N;Fire;MON;;Thelwood Creek
NFDB_point.864;POINT (-1093050.5285979095 1346008.2409699867);PC-2023-2023WB31;PC;PC-WB;2023WB31;;59.6844;-115.2978;2023;9;2;2023-09-02T00:00:00;;7822;N;;MON;;
NFDB_point.878;POINT (-1082195.089845334 1430344.64427078);PC-2023-2023WB30;PC;PC-WB;2023WB30;;60.455;-115.5999;2023;9;2;2023-09-02T00:00:00;;5088;N;;MON;;
NFDB_point.43;POINT (-1763111.8657797677 1533480.292789354);BC-2023-2023-G93120;BC;;2023-G93120;2023 Holdover G93120;58.7596;-127.7105;2023;9;1;2023-09-01T00:00:00;;700;N;Fire;MON;;Boreal Lake
NFDB_point.393;POINT (696901.5328356972 339618.4460745761);ON-2023-COC53;ON;;COC53;;51.5625;-84.8141;2023;9;1;2023-09-01T00:00:00;2023-10-12T00:00:00;1383;N;IFR;MON;;
NFDB_point.302;POINT (-502880.06325316965 800960.4042389514);SK-2023-23LA-ERROL;SK;;23LA-ERROL;;55.9852;-103.254533;2023;8;31;2023-08-31T00:00:00;2023-10-02T00:00:00;374.5;H;;;;
NFDB_point.68;POINT (-1995874.3403521352 638588.2235614285);BC-2023-2023-V53075;BC;;2023-V53075;KLITE RIVER;50.5322;-124.3396;2023;8;29;2023-08-29T00:00:00;2023-11-14T00:00:00;262;N;Fire;MON;;W Klite River
NFDB_point.133;POINT (-1895718.709570457 574099.2149813548);BC-2023-2023-V33029;BC;;2023-V33029;SPETCH CREEK;50.3991;-122.6656;2023;8;29;2023-08-29T00:00:00;2023-11-30T00:00:00;410;N;Fire;MOD;;Spetch Creek
NFDB_point.187;POINT (-1985458.317360883 532378.2117537041);BC-2023-2023-V53027;BC;;2023-V53027;CLOWHOM LAKE;49.7123;-123.5527;2023;8;29;2023-08-29T00:00:00;2023-11-14T00:00:00;415.5;N;Fire;MOD;;Clowhom Lake
NFDB_point.691;POINT (-1702343.2339785194 1645354.6815103241);YT-2023-2023OT004;YT;;2023OT004;;59.934129;-127.74958;2023;8;29;2023-08-29T00:00:00;2023-12-06T00:00:00;475.74;N;;;;LIARD RIVER
NFDB_point.81;POINT (-1979473.669365432 772304.6648570788);BC-2023-2023-C53189;BC;;2023-C53189;C53189;51.6808;-124.994;2023;8;28;2023-08-28T00:00:00;2023-09-16T00:00:00;200;N;Fire;FUL;;W of Hell Raving Creek
NFDB_point.113;POINT (-2004815.1693888425 1003053.005481163);BC-2023-2023-R13068;BC;;2023-R13068;R13068;53.4286;-126.9397;2023;8;28;2023-08-28T00:00:00;2023-12-12T00:00:00;419;N;Fire;MON;;St. Thomas Bay
NFDB_point.127;POINT (-2000754.200937058 985021.3344739606);BC-2023-2023-R13093;BC;;2023-R13093;R13093;53.3021;-126.7535;2023;8;28;2023-08-28T00:00:00;2023-12-12T00:00:00;913;N;Fire;MON;;John Buchanan Island
NFDB_point.216;POINT (-1873212.1756388778 766495.5294766342);BC-2023-2023-C53002;BC;;2023-C53002;C53002;52.0622;-123.5597;2023;8;28;2023-08-28T00:00:00;2024-01-17T00:00:00;1235.3;H;Fire;;;S of Chilko River
NFDB_point.610;POINT (-1714173.017639118 1859005.3225608729);YT-2023-2023WL008;YT;;2023WL008;;61.579784;-129.990649;2023;8;28;2023-08-28T00:00:00;2023-12-05T00:00:00;250;N;;;Transitional;N of Finlayson River
NFDB_point.77;POINT (-1989877.5276038698 765269.3435143628);BC-2023-2023-C52978;BC;;2023-C52978;HELL RAVING CREEK;51.5811;-125.0824;2023;8;27;2023-08-27T00:00:00;2024-01-17T00:00:00;16842;N;Fire;;;S of Twist Creek
NFDB_point.175;POINT (-1890936.0659745745 595885.761677518);BC-2023-2023-V33258;BC;;2023-V33258;V33258;50.5959;-122.7344;2023;8;27;2023-08-27T00:00:00;2023-11-14T00:00:00;300;N;Fire;MON;;Sockeye Creek
NFDB_point.71;POINT (-1847391.2726905718 1120612.7367522065);BC-2023-2023-G52955;BC;;2023-G52955;2023 Holdover Bivouac Creek;55.0552;-125.641;2023;8;26;2023-08-26T00:00:00;;1590.6;N;Fire;;;Bivouac Creek
